age,sex,autonomy_freedom,autonomy_interesting,autonomy_options,competence_matched,competence_capable,competence_competent,related_important,related_fulfilling,related_not_close,enjoyment_fun,enjoyment_attention,enjoymen_boring,enjoyment_enjoyed,extrinsic_avoid,extrinsic_forget,extrinsic_compelled,extrinsic_escape,spane_acnh_positive,spane_acnh_negative,spane_acnh_good,spane_acnh_bad,spane_acnh_pleasant,spane_acnh_unpleasant,spane_acnh_happy,spane_acnh_sad,spane_acnh_afraid,spane_acnh_joyful,spane_acnh_angry,spane_acnh_contented,Hours,happiness_value
36,1,6,6,6,7,7,7,4,4,4,7,1,1,7,4,7,6,7,6,5,6,5,6,5,7,5,5,6,7,6,1.85,0.83
33,1,7,7,7,7,7,7,7,7,1,7,2,1,7,1,3,7,7,7,3,7,1,7,1,7,1,1,4,1,7,1.1,5.17
19,4,7,7,7,7,7,7,7,7,1,7,2,1,7,2,6,6,6,6,1,6,1,6,1,6,1,1,6,1,6,1.51,5.0
31,2,7,7,7,7,7,7,7,7,2,7,1,1,7,2,6,7,6,7,4,7,2,7,3,7,2,1,7,4,6,1.32,4.17
20,1,6,7,7,5,4,6,4,4,3,7,2,2,6,1,3,5,5,4,1,3,1,5,1,3,1,1,3,1,7,1.85,3.17
34,2,5,7,7,6,5,7,6,2,6,7,1,1,7,1,1,7,1,2,1,2,1,3,1,2,1,1,2,1,2,1.45,1.17
31,1,5,1,1,5,6,6,4,6,2,6,1,1,7,1,1,4,4,4,2,4,2,4,1,4,1,4,5,2,4,1.87,2.17
45,2,7,7,6,7,7,7,6,6,2,7,1,1,7,5,1,5,1,7,1,7,1,7,1,7,2,2,7,1,4,2.29,5.17
18,1,6,2,6,7,6,5,3,4,4,6,3,2,6,1,6,6,6,4,2,4,4,5,2,4,1,1,2,3,5,1.85,1.83
25,2,7,7,6,6,7,7,7,7,1,7,1,2,7,1,1,1,7,7,1,7,1,7,1,7,1,1,7,1,7,2.36,6.0
35,2,6,3,7,7,7,7,7,7,1,7,2,5,7,6,7,7,7,7,2,7,2,7,2,7,4,1,7,1,7,1.67,5.0
18,1,3,2,5,5,4,5,5,4,7,7,2,3,5,5,7,7,7,6,2,3,1,4,2,3,2,1,4,2,5,1.05,2.5
31,1,6,6,6,4,6,7,4,4,5,7,1,2,7,1,5,2,5,5,2,5,2,5,2,6,1,1,5,2,5,1.85,3.5
35,2,7,7,7,7,7,7,7,4,1,7,1,1,7,4,4,5,5,5,3,6,3,6,3,6,3,2,6,2,6,3.14,3.17
37,1,4,4,5,1,7,7,1,1,4,3,6,5,4,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1.85,0.0
35,1,7,5,4,6,7,7,6,4,4,7,1,1,6,2,7,2,7,6,2,6,2,7,1,7,1,1,5,2,5,1.99,4.5
24,2,7,7,6,6,6,7,5,5,3,7,3,3,6,1,1,5,1,6,1,6,1,6,1,7,3,1,7,3,7,1.17,4.83
24,2,7,7,6,6,7,7,7,7,3,7,1,1,7,5,7,5,7,6,3,7,2,7,2,5,3,1,4,2,7,1.22,3.83
27,1,7,5,6,6,6,3,5,5,2,6,2,2,6,5,2,2,4,7,1,6,1,6,1,6,1,1,6,1,6,1.15,5.17
27,2,3,3,6,4,5,2,5,5,3,6,5,5,7,1,1,1,1,5,3,4,2,3,2,4,3,2,4,1,4,1.03,1.83
21,2,6,6,6,7,6,7,7,7,1,7,1,1,7,5,5,5,6,7,1,7,1,7,1,7,2,1,7,1,7,1.67,5.83
26,1,5,5,5,4,5,6,5,5,3,6,5,2,6,2,4,2,6,6,3,6,1,5,2,5,1,1,5,2,6,2.03,3.83
26,2,6,6,6,6,6,6,5,5,3,6,4,3,5,1,6,3,7,5,2,5,2,5,2,5,2,1,5,1,5,1.01,3.33
29,2,6,6,6,6,6,6,4,4,4,6,2,2,6,2,2,2,2,6,1,6,1,6,1,6,1,1,6,1,6,1.43,5.0
42,2,4,6,4,5,7,7,2,2,6,7,2,2,6,1,6,5,6,5,3,5,1,7,2,4,1,1,2,2,6,1.43,3.17
32,1,5,7,7,6,7,7,5,5,2,7,1,1,7,4,4,4,5,6,2,6,2,6,2,6,2,2,6,2,6,2.03,4.0
73,2,6,6,6,6,6,6,5,5,2,6,2,2,5,2,5,4,5,6,2,6,2,6,1,6,1,1,6,2,6,1.94,4.5
19,2,5,4,4,3,5,6,6,6,1,7,1,3,5,1,3,4,1,7,7,7,7,7,7,7,7,7,7,7,7,2.15,0.0
41,2,6,5,5,5,7,7,6,6,2,7,3,2,6,2,5,4,6,6,3,6,1,6,2,5,2,1,4,2,4,1.98,3.33
19,2,7,5,7,6,7,7,6,6,4,7,3,1,7,3,4,5,5,5,1,5,1,6,1,6,1,1,5,1,6,1.22,4.5
26,2,5,5,5,4,6,7,5,5,4,7,3,3,6,4,1,5,1,4,3,4,2,4,1,5,1,1,5,1,4,1.2,2.83
19,1,6,5,6,4,5,6,7,7,1,6,3,2,6,3,6,4,5,7,2,6,1,7,1,6,2,1,7,2,7,1.81,5.17
31,1,4,3,6,6,1,3,3,2,2,7,1,1,7,4,7,7,6,5,3,6,3,6,3,6,2,1,6,3,3,2.35,2.83
21,1,6,5,5,5,5,5,5,5,3,6,5,4,6,1,3,2,1,4,1,5,1,5,1,5,1,1,1,1,4,1.81,3.0
40,2,6,6,6,7,7,7,6,6,3,7,2,2,7,2,2,2,2,5,2,6,2,5,1,5,1,1,6,1,6,1.98,4.17
39,1,3,4,5,3,5,6,6,6,1,6,4,3,6,4,3,5,4,6,2,6,2,6,3,6,3,1,5,2,5,2.03,3.5
20,3,4,3,3,6,5,6,5,5,3,6,3,5,6,2,2,6,3,5,2,5,2,5,2,5,3,1,4,2,4,1.17,2.67
20,1,7,7,7,7,7,7,7,7,2,7,1,1,7,7,7,7,7,7,1,7,1,7,1,7,1,1,7,1,7,1.6,6.0
24,1,6,5,6,6,6,6,4,4,4,6,3,1,6,2,2,4,2,5,3,5,2,5,2,5,2,2,5,2,5,1.59,2.83
32,2,5,5,5,5,5,5,5,5,4,5,4,4,4,3,4,4,5,5,4,6,4,5,4,5,5,4,6,4,5,1.08,1.17
19,1,7,6,7,6,7,7,7,6,3,7,2,2,7,4,6,5,7,6,2,6,3,6,1,6,3,1,5,1,6,1.81,4.0
24,1,6,7,7,7,6,7,7,7,7,7,2,2,7,3,7,7,7,7,7,6,3,6,4,7,1,1,7,4,7,2.84,3.33
18,2,6,6,7,7,6,7,5,5,3,5,5,6,4,4,5,1,5,6,2,6,2,7,1,5,3,1,2,1,7,1.02,3.83
40,2,4,4,4,4,4,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.2,0.0
27,2,6,6,6,6,6,6,5,5,2,7,1,1,7,2,7,6,7,6,1,7,1,7,1,7,1,1,7,1,7,1.9,5.83
35,1,5,5,5,6,4,4,5,5,3,6,4,3,6,1,2,2,2,4,1,3,1,3,1,4,1,1,4,1,4,1.0,2.67
28,1,7,6,5,7,5,7,6,6,2,7,2,1,7,4,5,3,4,4,1,6,2,6,1,5,1,1,4,1,5,1.54,3.83
33,1,4,5,4,4,5,5,5,5,4,6,5,4,5,2,5,4,4,5,2,5,2,5,2,5,2,2,5,2,5,1.73,3.0
44,1,6,6,6,5,5,5,6,6,2,6,2,2,6,4,5,5,6,6,2,6,2,6,2,6,2,1,6,2,6,2.89,4.17
37,1,6,5,5,5,5,6,5,5,3,6,3,3,5,2,2,3,3,6,2,6,2,6,2,6,1,1,4,1,6,2.03,4.17
39,2,6,5,5,7,4,6,4,4,5,7,1,2,6,1,5,5,5,4,2,4,1,5,2,4,1,1,4,2,5,1.56,2.83
31,1,5,6,6,6,6,6,6,7,1,7,1,2,6,4,5,5,3,6,2,6,2,5,3,6,2,1,6,1,7,3.22,4.17
25,1,7,7,7,7,7,7,7,7,1,7,1,1,7,7,7,7,7,7,1,7,1,7,1,7,1,1,7,1,7,2.79,6.0
38,2,3,4,4,6,5,6,5,5,4,6,2,2,5,2,4,5,2,4,2,4,1,5,2,3,1,1,4,2,6,1.67,2.83
